Price,Close,High,Low,Open,Volume,Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,
Date,,,,,,
2015-09-16,7899.14990234375,7913.89990234375,7853.2998046875,7886.85009765625,140000,0.011631572589167893
2015-09-18,7981.89990234375,8055.0,7955.85009765625,7967.4501953125,241800,0.013618554063403865
2015-09-21,7977.10009765625,7987.89990234375,7908.35009765625,7911.5,121800,-0.0007817369511133321
2015-09-22,7812.0,8021.60009765625,7787.75,8014.7998046875,168400,-0.02690578334552749
2015-09-23,7845.9501953125,7882.89990234375,7723.25,7737.35009765625,146700,0.005649674079141054
2015-09-24,7868.5,7894.5,7804.10009765625,7838.39990234375,202500,0.0037362901068711987
2015-09-28,7795.7001953125,7893.9501953125,7787.9501953125,7892.7998046875,136300,-0.012027673138940055
2015-09-29,7843.2998046875,7926.5498046875,7691.2001953125,7725.7001953125,240700,0.007937643911025227
2015-09-30,7948.89990234375,7957.7001953125,7874.5,7924.25,210700,0.01750285343817659
2015-10-01,7950.89990234375,8008.25,7930.64990234375,7992.0498046875,156900,0.00032708928681228765
2015-10-05,8119.2998046875,8128.89990234375,8005.10009765625,8005.10009765625,183100,0.02753397423382753
2015-10-06,8152.89990234375,8180.9501953125,8096.5,8180.4501953125,178500,0.005379789883840469
2015-10-07,8177.39990234375,8188.89990234375,8132.89990234375,8146.2001953125,193900,0.003906585433588306
2015-10-08,8129.35009765625,8196.75,8105.85009765625,8196.75,171700,-0.007638705070036656
2015-10-09,8189.7001953125,8232.2001953125,8139.64990234375,8186.35009765625,199700,0.009650848593142003
2015-10-12,8143.60009765625,8244.5,8128.2001953125,8231.5,199100,-0.007317743693160639
2015-10-13,8131.7001953125,8150.25,8088.60009765625,8121.9501953125,145900,-0.0018996356477926303
2015-10-14,8107.89990234375,8139.2998046875,8096.35009765625,8102.39990234375,138900,-0.003804909196875006
2015-10-15,8179.5,8190.5498046875,8129.7998046875,8134.35009765625,167200,0.011480177120368662
2015-10-16,8238.150390625,8246.400390625,8147.64990234375,8193.650390625,156400,0.009321536501314375
2015-10-19,8275.0498046875,8283.0498046875,8239.2001953125,8262.5498046875,124500,0.005822816531225228
2015-10-20,8261.650390625,8294.0498046875,8229.2001953125,8280.2998046875,155100,-0.0021050312315199827
2015-10-21,8251.7001953125,8294.400390625,8217.150390625,8258.349609375,144800,-0.0015656985341485853
2015-10-23,8295.4501953125,8328.099609375,8280.75,8308.25,152000,0.006892518954131233
2015-10-26,8260.5498046875,8336.2998046875,8252.0498046875,8333.650390625,133900,-0.005469324357843519
2015-10-27,8232.900390625,8241.9501953125,8217.0498046875,8230.349609375,156700,-0.004351313064035178
2015-10-28,8171.2001953125,8209.099609375,8131.7998046875,8188.89990234375,188900,-0.009742648410709154
2015-10-29,8111.75,8179.60009765625,8098.0,8175.4501953125,217500,-0.009458249958260168
2015-10-30,8065.7998046875,8146.10009765625,8044.39990234375,8123.5498046875,199500,-0.007364040300335862
2015-11-02,8050.7998046875,8060.7001953125,7995.60009765625,8054.5498046875,136100,-0.002417615174215937
2015-11-03,8060.7001953125,8100.35009765625,8031.75,8086.35009765625,132500,0.0015986620118171979
2015-11-04,8040.2001953125,8116.10009765625,8027.2998046875,8104.89990234375,122100,-0.0033061643969213962
